mum,longitude,latitude
2,114.0733573,22.53806041
16,114.0324786,22.5639001
24,114.0528346,22.57155892
4,113.9920863,22.53235486
2,114.0835471,22.53905687
3,114.0425998,22.52578075
1,114.0972858,22.54238768
2,114.0676926,22.5364194
4,114.0349006,22.56101875
6,114.0759751,22.55911108
63,114.0933404,22.55934634
55,114.0771715,22.54231631
102,114.0803585,22.53327525
2,114.0552985,22.52699866
5,114.0668813,22.55150377
110,114.0535782,22.56691315
37,114.0803437,22.55281251
6,114.0479287,22.56174669
83,114.0891426,22.54056411
1,114.0574545,22.52396745
1,114.0698906,22.56868268
9,114.0186155,22.53044331
158,114.0813429,22.54098193
1,114.0230226,22.52839836
19,114.0572258,22.53065432
3,114.085109,22.54104308
4,114.0581087,22.52704199
15,114.0340427,22.52054611
46,114.048488,22.53992118
3,114.0603139,22.57251195
223,114.0159704,22.54330303
376,114.0460539,22.54130941
12,114.0401267,22.5505506
2,114.0864298,22.53651991
3,114.0504293,22.5683607
45,114.0662538,22.55252208
4,114.0651557,22.53959405
1,114.073418,22.52149704
2,114.0792719,22.53337367
15,114.0419756,22.52585492
690,114.0836434,22.546892
11,114.0326905,22.52124633
7,114.0231286,22.52615961
577,114.0311425,22.56301839
4,114.0451315,22.52423957
15,114.0079841,22.54736867
32,114.0656243,22.57339471
1042,114.050342,22.54892462
41,114.0418073,22.55579214
2,114.023428,22.52565297
23,114.0255548,22.53028415
5,114.0466686,22.56299845
5,114.0453353,22.52366574
11,114.0739433,22.5343867
899,114.0798444,22.54510295
14,114.0438172,22.52227468
3,114.038757,22.56024692
1,113.9981137,22.54361182
3,114.0416995,22.52931207
8,114.0758282,22.53351874
4,114.0545307,22.5303462
15,114.0220656,22.528946
6,114.0872408,22.5392434
14,114.0992401,22.53969319
7,114.0136316,22.54698917
19,114.0834617,22.54820232
68,114.0872591,22.54899452
8,114.0233448,22.54225641
13,114.0334375,22.51923879
35,114.0369187,22.56003218
3,114.046525,22.52296901
4,114.0795415,22.53346985
9,114.0255291,22.5247182
1,114.0234752,22.52869139
5,114.0895332,22.56546835
12,114.0968229,22.55803339
10,114.0561488,22.53663248
1,114.0081258,22.55494642
6,114.0853482,22.54008449
3,114.0985287,22.56023587
7,114.0851386,22.54057706
1,114.0232152,22.52856415
12,114.0354738,22.52078576
2,114.0668019,22.5411416
66,114.0312257,22.55907825
8,114.0571198,22.52714011
9,114.0462945,22.51539019
5,114.096267,22.54197834
58,114.0508227,22.53390891
7,114.0342222,22.51959165
1,114.0505042,22.52093269
2,114.0530921,22.5658855
210,114.0333435,22.52478625
21,114.0595955,22.5508856
2,114.050028,22.50608529
2,114.0265685,22.52803938
6,114.0989169,22.55268134
14,114.0471519,22.52327814
16,114.037047,22.55984106
5,114.0480048,22.56298127
10,114.032751,22.52064307
1,114.0587165,22.52208934
10,114.0756117,22.53351907
3,114.0792629,22.55441852
5,114.0577584,22.52705515
2,114.0580618,22.52154864
19,114.0335895,22.52047497
147,114.0508911,22.50919196
2,114.09567,22.56404345
12,114.0201611,22.54183898
5,114.0333477,22.52036111
5,114.0430901,22.51508967
5,114.0251847,22.55876915
2,114.0675206,22.54619523
199,114.0770102,22.54587224
1,114.0433158,22.55266886
3,114.0879948,22.53979553
2,114.0801131,22.53475417
6,114.0974868,22.54153992
6,114.0465198,22.52263957
12,114.0282125,22.56861851
4,114.0268769,22.52781302
4,114.0375028,22.52274089
6,114.0163628,22.55801081
2,114.0277444,22.52805126
3,114.0579588,22.52532716
4,114.0344317,22.52000477
1,114.0950842,22.5560433
11,114.0513756,22.56844878
20,114.0641723,22.53943053
2,114.0887505,22.53970975
3,114.0271171,22.52390943
11,114.0279554,22.52592499
8,114.0278085,22.53733654
3,114.0377437,22.52239797
11,114.0950577,22.55339205
684,114.0844399,22.54003671
154,114.0402959,22.54682075
134,114.0823714,22.5409852
3,114.0146864,22.54263421
12,114.0654848,22.52756688
1,114.0365121,22.53157118
13,114.0259438,22.52817475
1,114.046589,22.52260193
9,114.0205877,22.52732376
7,114.0281505,22.52742603
1,114.0307763,22.55841284
3,114.0926192,22.54083719
103,114.0357596,22.54528048
9,114.0200629,22.52982945
1,114.0732524,22.53670572
1,114.0852024,22.53387799
1,114.0807052,22.53795743
19,114.0653676,22.53912524
2,114.0542697,22.52758566
3,114.0199531,22.52768242
7,114.058121,22.53001292
9,114.0963195,22.54098026
1,114.0363352,22.51999714
1,114.0829395,22.53569707
8,114.0437985,22.51656072
1,114.0847978,22.53849719
16,114.0387305,22.52221086
1,114.0673624,22.54049556
2,114.0750497,22.5297758
9,114.0650156,22.53945798
3,114.0420471,22.52954682
1,114.0423508,22.56893031
3,114.0573557,22.57687832
9,114.077031,22.53703794
7,114.0360984,22.56072629
2,114.0280797,22.52411932
1,114.0698051,22.53751681
22,114.0555339,22.51935933
1,114.0744577,22.53999864
20,114.0319526,22.56286274
1,114.082132,22.56242645
3,114.0358461,22.55048475
17,114.0366664,22.56053849
13,114.0553996,22.52767703
11,114.0385439,22.55374405
1,114.0213844,22.55060598
47,114.0370278,22.50916399
126,114.0582842,22.52526288
6,114.0968168,22.54224563
1,114.0766643,22.53303404
1,114.0562862,22.57512693
2,114.0795694,22.54351662
118,114.0396872,22.5572776
362,114.0544504,22.57045731
26,114.0243725,22.52585327
8,114.0129823,22.55340863
2,114.0350551,22.52125036
10,114.0694882,22.57299686
10,114.0535775,22.56822506
57,114.0493038,22.52794584
13,114.0452433,22.52473171
3,114.0717228,22.54775499
14,114.0344413,22.56598341
1,114.0375957,22.5594017
15,114.0661791,22.5362165
37,114.035044,22.56550373
23,114.0871227,22.54486561
121,114.0898101,22.54114728
6,114.0742819,22.53604564
3,114.0972279,22.54213462
3,114.0401786,22.5257382
3,114.0646685,22.54120444
23,114.0405007,22.55384733
13,114.0422865,22.52793611
15,114.0490182,22.56933402
8,114.0343032,22.51992378
17,114.0431376,22.5250016
1,114.0224482,22.52706587
1,114.0384482,22.56452344
4,114.0203437,22.52749885
1,114.0394248,22.54852665
3,114.0647729,22.54091353
1,114.0801451,22.54223048
22,114.0661861,22.53723197
23,114.0368688,22.52909359
2,114.075738,22.53341936
9,114.0587984,22.52147014
4,114.0849902,22.53643772
10,114.0992481,22.53913394
5,114.022145,22.52873422
25,114.0497318,22.51712406
4,114.0328047,22.52045788
1,114.0934248,22.54896264
8,114.0364979,22.5588513
4,114.0778423,22.54117687
6,114.0550816,22.52524506
4,114.0323005,22.56018925
1,114.0670635,22.54473138
26,114.0397716,22.57182493
6,114.0567346,22.53080425
2,114.0843284,22.53642838
16,114.0131616,22.54652292
3,114.0354676,22.56096443
113,114.0081332,22.55342124
6,114.074551,22.53852402
22,114.0417101,22.52884223
7,114.0496748,22.5689629
9,114.0884344,22.54215511
3,114.0579578,22.52125812
1,114.0395006,22.52769439
12,114.0661147,22.54882511
2,114.0756301,22.53015753
101,114.0628053,22.57477766
148,114.0394022,22.54891801
6,114.00689,22.53953654
8,114.0962375,22.54938808
2,114.0376673,22.55950586
33,114.0706731,22.54663872
16,114.0904791,22.53864305
1,114.046582,22.51057259
3,114.0508433,22.56743501
202,114.077446,22.5438768
20,114.0044738,22.5385267
10,114.0906278,22.54069412
1,114.0979179,22.55682607
16,114.0961305,22.53964669
10,114.0414216,22.52504195
7,114.0309561,22.52090007
2,114.0377869,22.55959317
19,114.0435081,22.52632432
1,114.0217741,22.52896412
32,114.018153,22.55849402
6,114.0338104,22.52017585
2,114.0577417,22.5215836
80,114.0607302,22.57080346
8,114.0384494,22.56420943
2,114.0379614,22.52120024
8,114.0405432,22.52481059
14,114.0397328,22.52535276
18,114.0465044,22.52358645
10,114.0269587,22.52363692
120,114.0745411,22.55874911
4,114.0455717,22.52431737
15,114.0667997,22.57243576
2,114.0453636,22.53581407
3,114.0660811,22.53895837
14,114.0897265,22.5420473
9,114.0743997,22.5352381
27,114.0942488,22.5403408
133,114.0269928,22.52762971
2,114.0657052,22.53867836
11,114.0745837,22.53831337
6,114.0276399,22.52553662
5,114.0419664,22.51844803
4,114.0579554,22.52518649
5,114.0367735,22.51761045
17,114.0363317,22.52135871
4,114.0216248,22.5285885
10,114.0284618,22.5243907
8,114.0258452,22.52879864
2846,114.0823075,22.54652284
10,114.0581189,22.53016199
7,114.0442159,22.52231909
10,114.0775447,22.53692327
5,114.0413642,22.54552075
79,114.0371672,22.50853213
7,114.0254888,22.52869931
4,114.0252464,22.52964161
9,114.0349074,22.52100856
36,114.0362238,22.56400194
12,114.0492539,22.52839049
16,114.0934705,22.54091982
9,114.088416,22.54261152
8,114.0956666,22.5629937
3,114.0342949,22.5194922
1,114.0277963,22.52690941
1,114.0292156,22.52601524
9,114.0875413,22.53955631
19,114.0491734,22.56822216
16,114.0902712,22.54047433
3,114.023369,22.52726165
3,114.0645893,22.55286471
4,114.051762,22.56829418
9,114.0760635,22.53533803
5,114.0830991,22.53375379
1,114.0581941,22.52184932
2,114.0566768,22.52252472
31,114.0387801,22.52856816
74,114.0638949,22.57520437
3,114.0696752,22.53441113
35,114.0209194,22.53729695
3,114.0233548,22.52811153
2,114.0949728,22.56442653
45,114.0186388,22.53715975
3,114.0391284,22.53323066
5,114.0361471,22.56036805
4,114.0473673,22.53901386
4,114.057692,22.52488686
3,114.0448197,22.57148286
86,114.0524354,22.56796497
7,114.0283296,22.52566732
2,114.0271803,22.52462229
18,114.0989024,22.55346711
81,114.0480069,22.51003782
7,114.0466228,22.56909192
7,114.0192236,22.53087178
6,114.0238219,22.52728068
58,114.03597,22.56791051
8,114.0453788,22.52264514
18,114.0665568,22.54934699
10,114.0127843,22.55745316
17,114.0727838,22.52630007
5,114.0074996,22.55646572
203,114.0534807,22.57001943
6,114.0363093,22.56114325
7,114.0871761,22.53989754
2,114.0229473,22.52773973
1,114.0180983,22.55481692
1,114.0106652,22.56550673
24,114.0109627,22.54020785
12,114.0459412,22.54403707
5,114.0307034,22.52027451
651,114.0770022,22.54849887
6,114.0228583,22.52812506
63,114.0393834,22.53416999
4,114.0197816,22.52882671
1,114.0528346,22.52709414
3,113.9932873,22.53907755
6,114.0195495,22.52790444
2,114.029042,22.55471906
20,114.0655826,22.54157878
2,114.0871325,22.53929978
1,114.0588592,22.53821215
17,114.0769333,22.53245122
7,114.039262,22.51871285
9,114.0216899,22.52842763
5,114.044434,22.52480065
34,114.0914199,22.55125492
5,114.0581009,22.52677762
10,114.0423712,22.52765446
60,114.0408978,22.51178252
9,114.0393639,22.55863916
3,114.0750846,22.53506799
140,114.0378144,22.55802612
2,114.0278544,22.52432993
24,114.0866294,22.54517636
2,114.0722146,22.54007839
5,114.0791302,22.53373347
5,113.9910612,22.52739158
18,114.043207,22.56359461
1,114.0396395,22.57422045
1,114.0787101,22.53644941
2,114.0734159,22.53375415
1,114.0043899,22.53892037
3,114.0228855,22.56137748
12,114.0564967,22.5250767
10,114.0661506,22.54144683
2,114.0507475,22.56821679
13,114.0795047,22.55109994
7,114.0226988,22.52657702
21,114.096837,22.5403493
9,114.0399796,22.52009058
10,114.0778561,22.5366759
2,114.0759206,22.56158313
25,114.0924193,22.53957142
14,114.0746779,22.53841335
22,114.0562873,22.56965003
